Bacteria,Fago
mtb_c,WIVsmall
mtb_c,Saal
mtb_haarlem,WIVsmall
mtb_haarlem,Saal
m_microti,WIVsmall
m_microti,Saal
m_bovis,WIVsmall
m_bovis,Saal
m_lepraemurium,Squirty
m_africanum,WIVsmall
m_africanum,Saal
m_avium_ssp_paratuberculosis_k10,Vincenzo 
m_bovis_bcg,WIVsmall
m_bovis_bcg,Saal
m_smegmatis,Wee
m_smegmatis,HINdeR
m_smegmatis,Deadp
m_smegmatis,Taj
m_smegmatis,Estave1
mtb_cdc1551,WIVsmall
mtb_cdc1551,Saal
mtb_f11,WIVsmall
mtb_f11,Saal
mtb_h37ra,WIVsmall
mtb_h37ra,Saal
mtb_h37rv,WIVsmall
mtb_h37rv,Saal
m_gilvum,Myrna
m_intracellulare,Vix
m_intracellulare,Anubis
m_intracellulare,Tiffany
m_intracellulare,MarQuardt
m_intracellulare,Taurus
m_intracellulare,Marie
m_intracellulare,Malinsilva
m_intracellulare,Hercules11
m_intracellulare,Penny1
m_intracellulare,Aglet
m_intracellulare,Severus
m_intracellulare,Jobu08
m_intracellulare,RhynO
m_intracellulare,Trike
m_vaccae,Mufasa
m_avium_ssp_paratuberculosis_MAP,Vincenzo 
m_dioxanotrophicus,HINdeR
m_dioxanotrophicus,Sparky
m_avium_ssp_paratuberculosis_k10,Squirty
m_smegmatis,Qyrzula
m_ulcerans ,WIVsmall
m_gilvum,CaptainTrips
m_gilvum,Ovechkin
m_gilvum,Ardmore
m_gilvum,SG4
m_thermoresistibile,Dylan
m_thermoresistibile,Zakhe101
m_thermoresistibile,Catdawg
m_thermoresistibile,Firecracker
m_vaccae,CaptainTrips
m_vaccae,Ovechkin
m_vaccae,Enkosi
m_vaccae,Ardmore
m_vaccae,SG4
m_avium_ssp_paratuberculosis_MAP,Squirty
m_dioxanotrophicus,Xfactor 
m_dioxanotrophicus,Xfactor  
mtb_haarlem,Squirty
m_microti,Squirty
m_bovis,Squirty
m_africanum,Squirty
m_bovis_bcg,Squirty
m_leprae,Squirty
mtb_cdc1551,Squirty
mtb_f11,Squirty
mtb_h37ra,Squirty
mtb_h37rv,Squirty
m_abscessus,Graduation
m_abscessus,RidgeCB
m_stephanolepidis,Wile
m_vaccae,Wile
m_vaccae,Squirty
mtb_haarlem,Wildcat
m_microti,Wildcat
m_bovis,Wildcat
m_lepraemurium,Wildcat
m_africanum,Wildcat
m_avium,Wildcat
m_avium_ssp_paratuberculosis_k10,Wildcat
m_bovis_bcg,Wildcat
m_leprae,Wildcat
m_smegmatis,Peaches
m_smegmatis,Dhanush
m_smegmatis,BellusTerra
m_smegmatis,Melvin
m_ssp_jls,Wildcat
m_ssp_kms,Wildcat
m_ssp_mcs,Wildcat
mtb_cdc1551,Wildcat
mtb_f11,Wildcat
mtb_h37ra,Wildcat
m_vanbaalenii,CaptainTrips
m_vanbaalenii,Ovechkin
m_vanbaalenii,Ardmore
m_vanbaalenii,SG4
mtb_h37rv,Wildcat
m_abscessus,Enkosi
m_abscessus,TM4
m_vaccae,Wildcat
m_vaccae,Sparky
m_avium_ssp_paratuberculosis_MAP,Wildcat
m_dioxanotrophicus,Peaches
m_dioxanotrophicus,Dhanush
m_dioxanotrophicus,BellusTerra
m_dioxanotrophicus,Melvin
m_marinum,Wildcat
m_smegmatis,LHTSCC
m_smegmatis,Obama12
m_ssp_kms,Sparky
m_ssp_mcs,Sparky
m_ulcerans ,Wildcat
m_liflandii,Wildcat
m_shigaense,Wildcat
m_stephanolepidis,Severus
m_stephanolepidis,RhynO
m_stephanolepidis,Trike
m_fortuitum,Fruitloop
m_dioxanotrophicus,Bipolar
m_dioxanotrophicus,CaptainTrips
m_dioxanotrophicus,Ovechkin
m_dioxanotrophicus,PopTart
m_dioxanotrophicus,Seagreen
m_dioxanotrophicus,Sparkdehlily
m_dioxanotrophicus,Cabrinians
m_dioxanotrophicus,Brocalys
m_dioxanotrophicus,Llij
m_dioxanotrophicus,PMC
m_dioxanotrophicus,Nigel
m_dioxanotrophicus,Boomer 
m_dioxanotrophicus,Fruitloop
m_dioxanotrophicus,Ardmore
m_dioxanotrophicus,Wee
m_dioxanotrophicus,Job42
m_dioxanotrophicus,Bobi
m_dioxanotrophicus,Hamulus 
m_dioxanotrophicus,SG4
m_dioxanotrophicus,Deadp
m_dioxanotrophicus,Taj
m_dioxanotrophicus,BuzzLyseyear
m_dioxanotrophicus,Hades
m_dioxanotrophicus,Cerasum
m_lepraemurium,Bipper
m_avium,Audrey
m_avium,Pipefish
m_avium,Bernardo
m_avium,Bipper
m_avium_ssp_paratuberculosis_k10,Bipper
m_leprae,Bipper
m_marinum,Bipper
m_ulcerans ,Bipper
m_abscessus,Severus
m_abscessus,RhynO
m_abscessus,Trike
m_intracellulare,Bipper
m_liflandii,Bipper
m_shigaense,Bipper
m_avium_ssp_paratuberculosis_MAP,Bipper
m_dioxanotrophicus,Bane2
m_dioxanotrophicus,Bane1
m_dioxanotrophicus,JAMal
m_senegalense,CRB1
m_ulcerans ,Myrna
m_gilvum,Bron
m_liflandii,Myrna
m_stephanolepidis,Brujita
m_stephanolepidis,Island3
m_stephanolepidis,Brusacoram
m_stephanolepidis,Shipwreck
m_stephanolepidis,Fishburne
m_stephanolepidis,Donovan 
m_stephanolepidis,BigNuz
m_stephanolepidis,Babsiella
m_stephanolepidis,Malithi
m_dioxanotrophicus,LHTSCC
m_dioxanotrophicus,Obama12
m_dioxanotrophicus,Cooper
m_dioxanotrophicus,Bron
m_dioxanotrophicus,Adawi
m_dioxanotrophicus,Avani
m_dioxanotrophicus,Estave1
m_dioxanotrophicus,Sbash
m_smegmatis,Bipper
m_ssp_jls,Squirty
m_ssp_jls,Bipper
m_ssp_kms,Squirty
m_ssp_kms,Bipper
m_ssp_mcs,Squirty
m_ssp_mcs,Bipper
m_vanbaalenii,Bipper
m_gilvum,Bipper
m_abscessus,Bipper
m_intracellulare,Wildcat
m_fortuitum,Bipper
m_vaccae,Bipper
m_dioxanotrophicus,Florinda
m_dioxanotrophicus,Girafales
m_dioxanotrophicus,Quico
m_dioxanotrophicus,Stinger 
m_dioxanotrophicus,Bipper
m_senegalense,Bipper
m_chelonae,Gengar
m_chelonae,Gengar 
m_ssp_jls,Akoma
m_ssp_jls,Gadjet
m_abscessus,32HC
m_abscessus,Hades
m_stephanolepidis,Bipolar
m_stephanolepidis,Phayonce
m_stephanolepidis,Bipper
m_dioxanotrophicus,Squirty
m_marinum,Babsiella
m_ssp_jls,Bron
m_ssp_kms,Bron
m_ssp_mcs,Bron
m_ulcerans ,Babsiella
m_abscessus,Redi
m_liflandii,Babsiella
mtb_c,Eagle
mtb_c,Vix
mtb_c,LHTSCC
mtb_c,Medusa
mtb_c,Anubis
mtb_c,BellusTerra
mtb_c,Melvin
mtb_c,Obama12
mtb_c,Equemioh13
mtb_c,Tiffany
mtb_c,Piro94
mtb_c,MarQuardt
mtb_c,SweetiePie
mtb_c,Larenn
mtb_c,Taurus
mtb_c,Marie
mtb_c,Malinsilva
mtb_c,Hercules11
mtb_c,EvilGenius
mtb_c,ChipMunk
mtb_c,Penny1
mtb_c,Aglet
mtb_c,Pukovnik
mtb_c,Jobu08
mtb_c,Turbido
mtb_c,Trixie
mtb_c,Kampy
mtb_c,Phantastic
mtb_haarlem,Eagle
mtb_haarlem,Vix
mtb_haarlem,LHTSCC
mtb_haarlem,Medusa
mtb_haarlem,Anubis
mtb_haarlem,BellusTerra
mtb_haarlem,Melvin
mtb_haarlem,Obama12
mtb_haarlem,Equemioh13
mtb_haarlem,Tiffany
mtb_haarlem,Piro94
mtb_haarlem,MarQuardt
mtb_haarlem,SweetiePie
mtb_haarlem,Larenn
mtb_haarlem,Taurus
mtb_haarlem,Marie
mtb_haarlem,Malinsilva
mtb_haarlem,Hercules11
mtb_haarlem,EvilGenius
mtb_haarlem,ChipMunk
mtb_haarlem,Penny1
mtb_haarlem,Aglet
mtb_haarlem,Pukovnik
mtb_haarlem,Jobu08
mtb_haarlem,Turbido
mtb_haarlem,Trixie
mtb_haarlem,Kampy
mtb_haarlem,Phantastic
m_microti,Eagle
m_microti,Vix
m_microti,LHTSCC
m_microti,Medusa
m_microti,Anubis
m_microti,BellusTerra
m_microti,Melvin
m_microti,Obama12
m_microti,Equemioh13
m_microti,Tiffany
m_microti,Piro94
m_microti,MarQuardt
m_microti,SweetiePie
m_microti,Larenn
m_microti,Taurus
m_microti,Marie
m_microti,Malinsilva
m_microti,Hercules11
m_microti,EvilGenius
m_microti,ChipMunk
m_microti,Penny1
m_microti,Aglet
m_microti,Pukovnik
m_microti,Jobu08
m_microti,Turbido
m_microti,Trixie
m_microti,Kampy
m_microti,Phantastic
m_bovis,Eagle
m_bovis,Vix
m_bovis,LHTSCC
m_bovis,Medusa
m_bovis,Anubis
m_bovis,BellusTerra
m_bovis,Melvin
m_bovis,Obama12
m_bovis,Equemioh13
m_bovis,Tiffany
m_bovis,Piro94
m_bovis,MarQuardt
m_bovis,SweetiePie
m_bovis,Larenn
m_bovis,Taurus
m_bovis,Marie
m_bovis,Malinsilva
m_bovis,Hercules11
m_bovis,EvilGenius
m_bovis,ChipMunk
m_bovis,Penny1
m_bovis,Aglet
m_bovis,Pukovnik
m_bovis,Jobu08
m_bovis,Turbido
m_bovis,Trixie
m_bovis,Kampy
m_bovis,Phantastic
m_lepraemurium,Chy5
m_lepraemurium,Chy4
m_africanum,Eagle
m_africanum,Vix
m_africanum,LHTSCC
m_africanum,Medusa
m_africanum,Anubis
m_africanum,BellusTerra
m_africanum,Melvin
m_africanum,Obama12
m_africanum,Equemioh13
m_africanum,Tiffany
m_africanum,Piro94
m_africanum,MarQuardt
m_africanum,SweetiePie
m_africanum,Larenn
m_africanum,Taurus
m_africanum,Marie
m_africanum,Malinsilva
m_africanum,Hercules11
m_africanum,EvilGenius
m_africanum,ChipMunk
m_africanum,Penny1
m_africanum,Aglet
m_africanum,Pukovnik
m_africanum,Jobu08
m_africanum,Turbido
m_africanum,Trixie
m_africanum,Kampy
m_africanum,Phantastic
m_avium,Chy5
m_avium,Chy4
m_avium_ssp_paratuberculosis_k10,Chy5
m_avium_ssp_paratuberculosis_k10,Chy4
m_bovis_bcg,Eagle
m_bovis_bcg,Vix
m_bovis_bcg,LHTSCC
m_bovis_bcg,Medusa
m_bovis_bcg,Anubis
m_bovis_bcg,BellusTerra
m_bovis_bcg,Melvin
